"Shop By","Shop By"
"Shopping Options","Shopping Options"
Category,Category
"Compare Products","Compare Products"
"Print This Page","Print This Page"
"Remove Product","Remove Product"
Product,Product
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"You have no items to compare.","You have no items to compare."
"Remove This Item","Remove This Item"
Compare,Compare
"Clear All","Clear All"
"Close Window","Close Window"
Prev,Prev
Next,Next
"We can't find products matching the selection.","We can't find products matching the selection."
New,New
Sale,Sale
"Add to Compare","Add to Compare"
"Learn More","Learn More"
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Items","%1 Items"
Show,Show
"per page","per page"
"Sort By","Sort By"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"View as","View as"
Availability,Availability
"Latest Products","Latest Products"
"My Cart","My Cart"
"* Required Fields","* Required Fields"
"Write Us","Write Us"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
Name,Name
Email,Email
"Phone Number","Phone Number"
"What’s on your mind?","What’s on your mind?"
Submit,Submit
Currency,Currency
"Your current currency is: %1.","Your current currency is: %1."
Continue,Continue
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Enter your email address"
Subscribe,Subscribe
Rating,Rating
Review,Review
Reviews,Reviews
"Add Your Review","Add Your Review"
Search,Search
"Search Your Products...","Search Your Products..."
"Your Language:","Your Language:"
"Your Language","Your Language"
Language,Language
"Select Store","Select Store"
Home,Home
"All Category","All Category"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"<div class=""my-account-cms"">my account</div>","<div class=""my-account-cms"">my account</div>"
"Related posts","Related posts"
Posted:,Posted:
Categories:,Categories:
Author:,Author:
"We can't find posts matching the selection.","We can't find posts matching the selection."
"Read more","Read more"
"See more","See more"
"Related Posts","Related Posts"
Archive,Archive
"Archive %s","Archive %s"
Categories,Categories
"Recent Posts","Recent Posts"
"RSS Feed","RSS Feed"
"Search posts here...","Search posts here..."
"Read more &#187;","Read more &#187;"
"Shop By Brand","Shop By Brand"
Close,Close
"Recently added item(s)","Recently added item(s)"
item,item
items,items
"Go to Checkout","Go to Checkout"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"View and edit cart","View and edit cart"
"Custom Tab","Custom Tab"
Menu,Menu
Blog,Blog
